ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Predicted_Delay,Delay_Confidence_%
391,D,Road,4,1,259,3,low,M,20,2154,1,Yes,100.0
392,F,Road,4,1,178,3,medium,F,63,1573,1,Yes,99.8
393,A,Road,4,4,178,4,medium,F,13,1614,1,Yes,99.5
394,B,Road,5,4,169,2,low,F,20,1765,1,Yes,99.7
395,C,Road,3,2,272,2,low,M,33,2321,1,Yes,100.0
396,F,Road,4,4,183,3,low,M,29,3251,1,Yes,100.0
397,D,Road,3,4,205,3,low,F,10,2728,1,Yes,94.0
398,F,Road,2,1,123,4,low,F,53,1036,1,Yes,99.7
399,A,Road,4,3,152,3,low,M,58,1453,1,Yes,99.8
400,B,Road,3,1,220,2,high,F,40,3773,1,Yes,100.0
401,C,Road,4,3,134,3,low,M,51,1965,1,Yes,99.8
402,F,Road,3,2,217,2,high,M,19,2992,1,Yes,100.0
403,D,Road,3,2,265,3,low,F,49,2791,1,Yes,100.0
404,F,Road,4,2,249,5,medium,M,36,3836,1,Yes,100.0
405,A,Road,5,3,213,4,medium,F,50,2003,1,Yes,100.0
406,B,Road,2,2,124,3,low,F,56,1494,1,Yes,99.8
407,C,Flight,4,1,180,2,low,M,23,1193,1,Yes,99.8
408,F,Flight,4,5,193,3,medium,M,65,2267,1,Yes,100.0
409,D,Flight,3,2,192,3,medium,M,43,3339,1,Yes,100.0
410,F,Flight,2,5,166,3,medium,M,3,1832,1,Yes,84.5
411,A,Flight,3,2,264,3,medium,M,5,3861,1,Yes,94.3
412,B,Flight,3,4,200,2,medium,M,14,3528,1,Yes,100.0
413,C,Flight,4,3,142,4,medium,M,12,1396,1,Yes,99.5
414,F,Flight,4,1,215,2,low,M,32,3066,1,Yes,100.0
415,D,Flight,2,1,218,2,low,M,15,2745,1,Yes,100.0
416,F,Flight,3,2,115,3,low,F,27,1814,1,Yes,99.9
417,A,Flight,4,3,159,3,low,M,33,1330,1,Yes,99.8
418,B,Flight,5,5,133,3,low,M,63,1218,1,Yes,99.8
419,C,Flight,5,2,178,3,low,M,48,1517,1,Yes,99.8
420,F,Flight,4,2,134,2,low,F,43,1714,1,Yes,99.7
421,D,Flight,3,1,184,5,medium,F,58,2544,1,Yes,100.0
422,F,Flight,4,2,251,2,medium,M,24,2405,1,Yes,100.0
423,A,Flight,3,2,141,3,low,M,7,1933,1,Yes,86.3
424,B,Flight,4,4,229,2,medium,M,45,3776,1,Yes,100.0
425,C,Flight,4,1,203,4,low,M,34,3813,1,Yes,100.0
426,F,Flight,4,3,158,3,medium,F,57,1911,1,Yes,99.8
427,D,Flight,3,4,167,3,medium,M,52,1755,1,Yes,99.8
428,F,Flight,5,4,197,4,low,F,40,3303,1,Yes,100.0
429,A,Ship,2,2,140,3,low,F,19,1806,1,Yes,99.8
430,B,Ship,5,1,205,2,medium,M,27,3569,1,Yes,100.0
431,C,Ship,5,5,208,3,low,F,45,2018,1,Yes,100.0
432,F,Ship,4,2,96,3,low,M,22,1294,1,Yes,99.8
433,D,Ship,6,4,205,3,low,F,44,2064,1,Yes,99.8
434,F,Ship,4,2,215,3,medium,F,48,2953,1,Yes,100.0
435,A,Ship,4,1,216,3,low,F,43,2643,1,Yes,100.0
436,B,Ship,3,1,112,2,high,M,22,1846,1,Yes,99.9
437,C,Ship,5,4,222,3,low,F,20,3632,1,Yes,100.0
438,F,Ship,5,2,186,3,medium,F,15,2153,1,Yes,100.0
439,D,Ship,3,5,241,3,medium,M,48,2841,1,Yes,100.0
440,F,Ship,3,3,172,3,low,F,58,1269,1,Yes,99.9
441,A,Ship,3,5,251,2,high,M,23,2426,1,Yes,100.0
442,B,Ship,5,3,190,3,high,M,45,2628,1,Yes,100.0
443,C,Ship,4,3,186,2,medium,F,48,2805,1,Yes,100.0
444,F,Ship,4,4,207,2,medium,M,35,2596,1,Yes,100.0
445,D,Ship,3,3,135,3,low,F,19,1366,1,Yes,99.9
446,F,Ship,4,4,189,2,medium,F,18,2955,1,Yes,100.0
447,A,Ship,4,4,173,5,medium,F,51,1691,1,Yes,99.0
448,B,Ship,3,4,194,3,medium,M,3,2169,1,Yes,93.7
449,C,Ship,3,1,183,3,low,M,19,3018,1,Yes,100.0
450,F,Ship,4,3,140,2,low,F,22,1248,1,Yes,99.8
451,D,Ship,4,4,244,3,medium,F,55,2782,1,Yes,100.0
452,F,Ship,2,3,189,4,low,M,34,3355,1,Yes,100.0
453,A,Ship,3,2,157,2,medium,M,53,1390,1,Yes,99.9
454,B,Ship,4,1,275,10,medium,F,23,2726,1,Yes,100.0
455,C,Ship,4,5,133,3,low,F,53,1467,1,Yes,99.8
456,F,Ship,4,1,149,3,medium,M,54,1178,1,Yes,99.8
457,D,Ship,3,3,254,2,high,M,17,3153,1,Yes,100.0
458,F,Ship,3,4,145,8,low,F,15,1429,1,Yes,99.8
459,A,Ship,3,2,179,5,low,F,52,1991,1,Yes,99.7
460,B,Ship,5,2,168,3,low,M,26,1526,1,Yes,99.8
461,C,Ship,4,1,202,3,medium,F,18,3940,1,Yes,100.0
462,F,Ship,3,4,220,7,low,M,43,2620,1,Yes,100.0
463,D,Ship,3,4,244,8,low,M,1,2703,1,Yes,85.0
464,F,Ship,4,2,186,7,medium,F,40,3111,1,Yes,100.0
465,A,Ship,5,2,263,8,medium,M,24,3139,1,Yes,100.0
466,B,Ship,3,2,294,4,low,F,15,1318,1,Yes,99.7
467,C,Ship,3,5,226,2,medium,F,2,1043,1,Yes,81.6
468,F,Ship,4,4,173,5,medium,F,2,1175,1,No,48.5
469,D,Ship,3,5,194,3,medium,F,10,2277,1,Yes,94.0
470,F,Ship,3,5,183,3,low,F,2,3459,1,Yes,93.4
471,A,Ship,4,1,140,2,low,M,61,1770,1,Yes,99.7
472,B,Ship,4,3,244,3,medium,M,8,3318,1,Yes,93.2
473,C,Ship,2,2,189,4,low,M,9,3413,1,Yes,75.7
474,F,Ship,3,1,157,2,medium,F,39,1525,1,Yes,99.9
475,D,Ship,4,3,275,10,medium,M,10,2093,1,Yes,79.1
476,F,Ship,4,5,133,3,low,M,59,1092,1,Yes,99.8
477,A,Ship,4,2,149,3,medium,M,26,1863,1,Yes,99.8
478,B,Ship,3,4,254,2,high,F,41,3973,1,Yes,100.0
479,C,Ship,3,4,145,8,low,F,24,1594,1,Yes,99.8
480,F,Ship,3,5,179,5,low,M,56,1113,1,Yes,99.6
481,D,Ship,5,4,168,3,low,F,13,1317,1,Yes,99.8
482,F,Ship,4,5,202,3,medium,F,46,3181,1,Yes,100.0
483,A,Ship,3,3,220,7,low,M,25,2141,1,Yes,100.0
484,B,Ship,3,2,244,8,low,F,50,3562,1,Yes,100.0
485,C,Ship,4,3,186,7,medium,F,30,2062,1,Yes,100.0
486,F,Ship,5,5,263,8,medium,F,9,2236,1,Yes,81.0
487,D,Ship,3,1,294,4,low,F,25,1498,1,Yes,99.7
488,F,Ship,4,1,139,3,low,F,56,1811,1,Yes,99.8
489,A,Ship,7,5,192,3,low,M,46,1550,1,Yes,99.5
490,B,Ship,3,3,235,3,low,M,5,3065,1,Yes,94.3
491,C,Ship,2,1,176,3,low,F,15,1996,1,Yes,99.9
492,F,Ship,5,4,224,3,low,F,34,2627,1,Yes,100.0
493,D,Ship,3,4,128,3,medium,F,51,1524,1,Yes,99.9
494,F,Ship,5,4,226,5,low,M,47,2240,1,Yes,100.0
495,A,Ship,5,1,160,5,medium,F,16,1526,1,Yes,99.5
496,B,Ship,3,1,197,5,low,M,45,2224,1,Yes,100.0
497,C,Ship,4,2,216,3,low,F,12,2273,1,Yes,100.0
498,F,Ship,4,4,199,2,low,M,9,3075,1,Yes,92.0
499,D,Ship,5,5,271,2,low,M,27,3957,1,Yes,100.0
500,F,Ship,5,1,201,3,low,F,47,2657,1,Yes,100.0
501,A,Ship,3,4,212,2,low,M,33,2021,1,Yes,100.0
502,B,Ship,3,2,177,3,low,M,10,1641,1,Yes,87.1
503,C,Ship,3,4,191,4,medium,F,43,2903,1,Yes,100.0
504,F,Ship,3,2,174,3,low,M,30,1986,1,Yes,99.9
505,D,Ship,5,3,162,2,low,F,14,1045,1,Yes,99.7
506,F,Ship,3,1,219,2,low,F,39,2696,1,Yes,100.0
507,A,Ship,4,4,155,3,medium,F,35,1421,1,Yes,99.8
508,B,Ship,5,3,230,3,medium,F,3,2923,1,Yes,93.8
509,C,Ship,4,5,192,2,medium,F,36,2497,1,Yes,100.0
510,F,Ship,5,2,235,3,low,M,14,2984,1,Yes,100.0
511,D,Ship,3,2,200,3,low,M,46,3642,1,Yes,100.0
512,F,Ship,5,2,172,3,medium,M,65,1667,1,Yes,99.8
513,A,Ship,5,4,160,4,low,F,6,1603,1,No,45.7
514,B,Ship,5,3,250,5,low,M,12,2722,1,Yes,100.0
515,C,Ship,4,2,174,3,low,M,9,1682,1,Yes,83.1
516,F,Ship,3,2,204,3,high,F,54,3608,1,Yes,100.0
517,D,Ship,3,5,274,3,medium,F,51,3476,1,Yes,100.0
518,F,Ship,5,5,262,2,medium,F,62,3744,1,Yes,100.0
519,A,Ship,4,5,138,3,medium,M,23,1785,1,Yes,99.8
520,B,Ship,3,1,215,3,medium,F,2,3873,1,Yes,93.4
521,C,Ship,3,1,145,2,low,F,34,1773,1,Yes,99.8
522,F,Road,4,5,149,2,medium,M,56,1141,1,Yes,99.8
523,D,Road,6,5,212,2,medium,M,38,2359,1,Yes,99.9
524,F,Road,3,1,155,3,medium,F,47,1193,1,Yes,99.9
525,A,Road,5,2,154,3,low,M,40,1238,1,Yes,99.8
526,B,Road,3,3,249,3,medium,M,51,2173,1,Yes,100.0
527,C,Road,5,1,206,2,low,M,2,3490,1,Yes,92.2
528,F,Road,4,5,235,3,medium,F,22,2015,1,Yes,100.0
529,D,Road,5,5,261,3,medium,F,8,3257,1,Yes,94.2
530,F,Road,6,1,243,4,high,F,22,3537,1,Yes,100.0
531,A,Road,3,2,237,2,high,M,26,3103,1,Yes,100.0
532,B,Road,2,4,179,2,low,F,19,1900,1,Yes,99.9
533,C,Road,4,3,192,3,low,F,43,3498,1,Yes,100.0
534,F,Road,3,1,141,3,medium,F,39,1838,1,Yes,99.9
535,D,Road,3,2,245,3,low,F,61,2188,1,Yes,100.0
536,F,Road,4,4,177,4,medium,F,32,1774,1,Yes,99.5
537,A,Road,2,3,154,4,high,F,17,1897,1,Yes,99.7
538,B,Road,4,4,228,3,medium,F,12,3359,1,Yes,100.0
539,C,Road,3,3,207,6,high,F,24,3702,1,Yes,100.0
540,F,Road,4,4,266,4,medium,F,33,2701,1,Yes,100.0
541,D,Road,3,3,172,3,medium,F,42,1707,1,Yes,99.8
542,F,Road,4,3,142,3,low,F,35,1512,1,Yes,99.8
543,A,Road,4,5,218,3,low,F,40,3200,1,Yes,100.0
544,B,Flight,3,3,231,2,low,M,46,2962,1,Yes,100.0
545,C,Flight,4,2,180,3,low,F,47,1434,1,Yes,99.8
546,F,Flight,3,1,168,3,low,M,46,1886,1,Yes,99.9
547,D,Flight,5,5,147,4,high,F,42,1642,1,Yes,99.5
548,F,Flight,5,4,245,5,low,M,6,3592,1,Yes,73.1
549,A,Flight,2,4,182,3,medium,M,47,3792,1,Yes,100.0
550,B,Flight,3,4,176,3,medium,F,8,1567,1,Yes,84.5
551,C,Flight,5,3,197,4,medium,F,51,2917,1,Yes,100.0
552,F,Flight,3,5,233,3,medium,M,52,3519,1,Yes,100.0
553,D,Flight,3,4,156,2,low,M,8,1145,1,Yes,82.1
554,F,Flight,2,3,257,4,medium,F,52,2073,1,Yes,100.0
555,A,Flight,5,4,250,3,low,F,11,3373,1,Yes,100.0
556,B,Flight,5,4,189,5,low,M,3,3301,1,Yes,73.9
557,C,Flight,3,3,255,2,high,M,7,3311,1,Yes,92.9
558,F,Flight,2,3,198,2,medium,M,28,3514,1,Yes,100.0
559,D,Flight,4,2,164,3,medium,M,15,1489,1,Yes,99.8
560,F,Flight,5,2,271,3,medium,M,32,3785,1,Yes,100.0
561,A,Flight,3,1,185,2,medium,F,34,3299,1,Yes,100.0
562,B,Flight,2,5,157,6,high,F,17,1764,1,Yes,99.6
563,C,Flight,3,2,137,2,medium,M,17,1673,1,Yes,99.9
564,F,Flight,3,3,229,3,low,M,14,2164,1,Yes,100.0
565,D,Flight,3,3,234,2,medium,F,39,2449,1,Yes,100.0
566,F,Ship,4,3,216,2,low,M,52,3578,1,Yes,100.0
567,A,Ship,3,1,163,4,low,F,20,1940,1,Yes,99.7
568,B,Ship,5,2,268,3,low,M,19,2526,1,Yes,100.0
569,C,Ship,3,3,205,5,medium,M,35,2988,1,Yes,100.0
570,F,Ship,4,5,265,2,medium,F,18,2969,1,Yes,100.0
571,D,Ship,2,2,236,3,medium,M,3,3416,1,Yes,92.7
572,F,Ship,4,1,132,3,low,M,63,1901,1,Yes,99.8
573,A,Ship,3,4,234,2,medium,M,46,3108,1,Yes,100.0
574,B,Ship,4,3,108,6,low,F,22,1745,1,Yes,99.0
575,C,Ship,4,2,276,2,low,M,54,3706,1,Yes,100.0
576,F,Ship,4,2,179,4,low,M,1,1063,1,No,49.1
577,D,Ship,4,1,230,3,medium,M,40,2225,1,Yes,100.0
578,F,Ship,3,2,210,3,medium,F,43,2096,1,Yes,100.0
579,A,Ship,3,2,173,3,low,F,15,1992,1,Yes,99.7
580,B,Ship,2,5,201,3,medium,F,29,3894,1,Yes,100.0
581,C,Ship,3,3,214,2,low,M,21,3342,1,Yes,100.0
582,F,Ship,4,2,216,2,medium,F,22,3024,1,Yes,100.0
583,D,Ship,2,5,144,3,medium,M,61,1313,1,Yes,99.8
584,F,Ship,5,5,182,3,medium,F,27,3039,1,Yes,100.0
585,A,Ship,3,3,163,2,medium,F,48,1369,1,Yes,99.9
586,B,Ship,3,3,234,3,medium,F,8,2334,1,Yes,93.4
587,C,Ship,3,2,158,3,high,F,59,1307,1,Yes,99.9
588,F,Ship,3,5,194,2,medium,M,4,3496,1,Yes,92.7
589,D,Ship,3,1,201,6,medium,F,3,2497,1,Yes,78.0
590,F,Ship,3,2,178,2,medium,F,59,1933,1,Yes,99.9
591,A,Ship,4,1,214,5,medium,M,51,2669,1,Yes,100.0
592,B,Ship,3,3,281,2,medium,M,55,3047,1,Yes,100.0
593,C,Ship,3,2,260,3,medium,F,2,2176,1,Yes,93.4
594,F,Ship,3,2,200,2,medium,F,46,3174,1,Yes,100.0
595,D,Ship,5,3,209,2,high,F,49,2581,1,Yes,100.0
596,F,Ship,3,1,185,3,low,M,61,3280,1,Yes,100.0
597,A,Ship,4,3,230,3,low,F,62,2236,1,Yes,100.0
598,B,Ship,3,4,134,3,medium,F,31,1540,1,Yes,99.9
599,C,Ship,4,5,270,2,low,F,34,2821,1,Yes,100.0
600,F,Ship,4,1,140,3,medium,F,1,1464,1,Yes,82.1
601,D,Ship,6,3,133,5,medium,M,32,1367,1,Yes,99.5
602,F,Ship,3,4,145,3,medium,M,44,1218,1,Yes,99.9
603,A,Ship,4,3,206,3,medium,M,58,2135,1,Yes,100.0
604,B,Ship,3,1,162,2,low,F,52,1125,1,Yes,99.9
605,C,Ship,4,3,187,2,low,F,58,3665,1,Yes,100.0
606,F,Ship,4,4,166,5,low,F,54,1203,1,Yes,99.0
607,D,Ship,4,5,178,3,low,F,48,1819,1,Yes,99.8
608,F,Ship,3,1,167,2,high,F,34,1967,1,Yes,99.9
609,A,Ship,4,4,224,3,high,M,60,3145,1,Yes,100.0
610,B,Ship,4,4,158,3,medium,M,11,1224,1,Yes,99.8
611,C,Ship,3,4,134,2,medium,M,43,1198,1,Yes,99.9
612,F,Ship,4,2,147,2,medium,F,20,1387,1,Yes,99.8
613,D,Ship,4,3,187,3,low,M,61,2207,1,Yes,100.0
614,F,Ship,4,5,247,2,medium,F,18,2404,1,Yes,100.0
615,A,Ship,5,4,182,4,high,M,20,2212,1,Yes,100.0
616,B,Ship,4,1,177,4,medium,F,33,1049,1,Yes,99.5
617,C,Ship,5,5,143,2,high,F,18,1066,1,Yes,99.7
618,F,Ship,5,3,245,2,medium,F,8,3231,1,Yes,92.6
619,D,Ship,4,1,133,4,medium,M,64,1834,1,Yes,99.5
620,F,Ship,3,5,224,2,low,M,13,3891,1,Yes,100.0
621,A,Ship,2,5,265,2,low,F,50,3859,1,Yes,100.0
622,B,Ship,4,1,138,2,low,M,28,1528,1,Yes,99.8
623,C,Ship,3,4,253,3,low,M,6,3788,1,Yes,94.2
624,F,Ship,4,1,165,3,medium,M,51,1293,1,Yes,99.8
625,D,Ship,4,3,265,3,low,F,65,3578,1,Yes,100.0
626,F,Ship,3,2,238,3,high,F,54,3142,1,Yes,100.0
627,A,Ship,5,2,236,3,low,F,51,3402,1,Yes,100.0
628,B,Ship,4,2,190,5,high,F,38,3022,1,Yes,100.0
629,C,Ship,6,1,104,4,medium,F,23,1442,1,Yes,99.5
630,F,Ship,4,5,245,2,low,F,19,2616,1,Yes,100.0
631,D,Ship,3,1,155,3,medium,F,27,1022,1,Yes,99.9
632,F,Ship,3,2,233,3,low,M,63,2143,1,Yes,100.0
633,A,Ship,4,3,171,4,low,F,55,1539,1,Yes,99.5
634,B,Ship,2,3,164,2,low,M,56,1491,1,Yes,99.9
635,C,Ship,3,1,141,3,low,M,6,1361,1,Yes,85.6
636,F,Ship,5,3,266,2,low,F,61,2118,1,Yes,100.0
637,D,Ship,3,4,192,2,low,F,56,3765,1,Yes,100.0
638,F,Ship,3,3,229,6,medium,F,61,2298,1,Yes,100.0
639,A,Ship,6,2,269,4,medium,M,38,3171,1,Yes,100.0
640,B,Ship,3,4,247,4,low,M,59,2939,1,Yes,100.0
641,C,Ship,4,4,157,2,low,F,2,1087,1,Yes,80.0
642,F,Ship,3,2,148,3,medium,F,64,1280,1,Yes,99.9
643,D,Ship,4,1,240,2,low,M,14,2437,1,Yes,100.0
644,F,Ship,4,3,197,4,medium,M,58,3617,1,Yes,100.0
645,A,Ship,6,4,121,5,low,M,23,1734,1,Yes,99.5
646,B,Ship,4,2,124,3,high,M,60,1107,1,Yes,99.8
647,C,Ship,4,2,153,3,medium,F,53,1185,1,Yes,99.8
648,F,Ship,5,2,105,4,high,M,1,1622,1,No,48.3
649,D,Ship,4,3,202,3,medium,M,2,3962,1,Yes,92.4
650,F,Ship,5,4,162,2,low,F,54,1635,1,Yes,99.7
651,A,Ship,3,4,164,3,medium,M,13,1158,1,Yes,99.9
652,B,Ship,3,2,231,4,medium,M,48,3370,1,Yes,100.0
653,C,Ship,5,2,209,4,medium,F,12,2933,1,Yes,100.0
654,F,Ship,3,1,157,2,high,M,19,1898,1,Yes,99.9
655,D,Ship,4,5,249,2,low,M,4,2725,1,Yes,92.8
656,F,Ship,2,3,264,2,low,F,63,2896,1,Yes,100.0
657,A,Ship,3,1,111,4,low,M,61,1844,1,Yes,99.7
658,B,Ship,3,1,242,3,medium,F,10,3606,1,Yes,94.0
659,C,Road,4,4,169,3,low,M,23,1058,1,Yes,99.8
660,F,Road,5,3,138,2,low,M,13,1056,1,Yes,99.7
661,D,Road,5,1,158,3,low,M,9,1483,1,Yes,80.4
662,F,Road,5,3,146,4,low,M,5,1718,1,No,46.5
663,A,Road,4,4,218,5,medium,F,36,2995,1,Yes,100.0
664,B,Road,3,2,178,2,medium,F,22,1247,1,Yes,99.9
665,C,Road,4,5,197,3,low,F,34,3784,1,Yes,100.0
666,F,Road,3,3,243,2,medium,M,17,3230,1,Yes,100.0
667,D,Road,5,2,254,4,high,M,37,2608,1,Yes,100.0
668,F,Road,3,1,237,4,low,M,33,2782,1,Yes,100.0
669,A,Road,5,1,179,3,low,F,62,1945,1,Yes,99.9
670,B,Road,3,2,189,3,medium,M,38,2108,1,Yes,100.0
671,C,Road,4,3,244,3,medium,M,1,3982,1,Yes,90.8
672,F,Road,3,3,266,2,medium,M,46,3594,1,Yes,100.0
673,D,Road,5,4,263,3,high,M,10,2538,1,Yes,94.2
674,F,Road,3,2,247,2,medium,M,39,3189,1,Yes,100.0
675,A,Road,4,5,202,3,low,F,6,2616,1,Yes,93.7
676,B,Road,4,4,227,3,medium,F,1,2761,1,Yes,92.1
677,C,Road,4,5,189,2,low,F,15,2457,1,Yes,100.0
678,F,Road,6,4,160,2,low,F,31,1689,1,Yes,99.6
679,D,Road,3,3,117,3,medium,M,56,1618,1,Yes,99.9
680,F,Road,3,1,202,2,high,M,52,2312,1,Yes,100.0
681,A,Flight,4,3,201,3,medium,F,54,2487,1,Yes,100.0
682,B,Flight,3,4,273,2,medium,F,39,2651,1,Yes,100.0
683,C,Flight,4,4,143,2,medium,M,58,1038,1,Yes,99.8
684,F,Flight,4,5,137,4,high,M,29,1262,1,Yes,99.5
685,D,Flight,5,5,236,3,high,M,34,3455,1,Yes,100.0
686,F,Flight,4,2,241,2,low,M,17,3844,1,Yes,100.0
687,A,Flight,4,2,187,2,low,F,6,3625,1,Yes,93.0
688,B,Flight,4,5,273,2,high,M,63,3516,1,Yes,100.0
689,C,Flight,5,2,170,3,low,M,15,1314,1,Yes,99.8
690,F,Flight,3,5,138,3,low,F,37,1266,1,Yes,99.9
691,D,Flight,5,4,150,2,low,M,60,1034,1,Yes,99.7
692,F,Flight,5,5,140,3,high,F,42,1384,1,Yes,99.8
693,A,Flight,4,1,250,2,low,M,17,3544,1,Yes,100.0
694,B,Flight,3,3,207,7,medium,M,19,2182,1,Yes,100.0
695,C,Flight,4,4,214,3,low,M,36,2684,1,Yes,100.0
696,F,Flight,4,1,179,3,low,M,63,1215,1,Yes,99.8
697,D,Flight,5,1,149,4,medium,F,20,1110,1,Yes,99.5
698,F,Flight,3,5,151,2,low,F,16,1422,1,Yes,99.9
699,A,Flight,4,3,264,3,medium,M,23,2376,1,Yes,100.0
700,B,Flight,6,5,113,3,high,M,31,1037,1,Yes,99.5
701,C,Flight,6,1,281,3,medium,F,36,2536,1,Yes,99.8
702,F,Flight,4,2,197,7,medium,M,43,3730,1,Yes,100.0
703,D,Ship,3,4,265,8,low,F,35,3299,1,Yes,100.0
704,F,Ship,4,2,259,3,low,F,47,3764,1,Yes,100.0
705,A,Ship,5,1,200,8,low,F,18,3806,1,Yes,100.0
706,B,Ship,2,4,111,2,high,M,60,1787,1,Yes,99.8
707,C,Ship,3,5,223,3,medium,M,53,3670,1,Yes,100.0
708,F,Ship,3,3,241,3,low,M,5,2713,1,Yes,94.3
709,D,Ship,4,1,139,3,low,F,25,1152,1,Yes,99.8
710,F,Ship,7,1,192,3,low,M,38,1372,1,Yes,99.5
711,A,Ship,3,4,117,3,medium,M,23,1527,1,Yes,99.9
712,B,Ship,3,1,202,2,high,F,21,3120,1,Yes,100.0
713,C,Ship,4,2,201,3,medium,F,39,2066,1,Yes,100.0
714,F,Ship,3,3,273,2,medium,F,16,2466,1,Yes,100.0
715,D,Ship,4,3,143,2,medium,F,64,1910,1,Yes,99.8
716,F,Ship,4,1,137,4,high,M,15,1391,1,Yes,99.5
717,A,Ship,5,3,236,3,high,F,47,3519,1,Yes,100.0
718,B,Ship,4,1,241,2,low,F,39,2935,1,Yes,100.0
719,C,Ship,4,5,187,2,low,M,44,3218,1,Yes,100.0
720,F,Ship,4,3,273,2,high,M,43,3462,1,Yes,100.0
721,D,Ship,5,3,170,3,low,F,12,1018,1,Yes,99.7
722,F,Ship,3,4,138,3,low,F,54,1648,1,Yes,99.9
723,A,Ship,5,3,150,2,low,M,2,1682,1,Yes,78.3
724,B,Ship,5,4,140,3,high,F,56,1332,1,Yes,99.8
725,C,Ship,4,3,250,2,low,F,46,2878,1,Yes,100.0
726,F,Ship,3,4,207,7,medium,F,46,2670,1,Yes,100.0
727,D,Ship,4,2,214,3,low,F,18,2574,1,Yes,100.0
728,F,Ship,4,3,179,3,low,M,45,1903,1,Yes,99.8
729,A,Ship,5,2,149,4,medium,M,48,1068,1,Yes,99.5
730,B,Ship,3,1,151,2,low,F,4,1748,1,Yes,83.1
731,C,Ship,4,5,264,3,medium,M,16,2245,1,Yes,100.0
732,F,Ship,6,5,113,3,high,F,35,1402,1,Yes,99.5
733,D,Ship,6,3,281,3,medium,M,11,2135,1,Yes,99.8
734,F,Ship,4,4,197,7,medium,F,22,2065,1,Yes,100.0
735,A,Ship,3,4,265,8,low,M,2,3622,1,Yes,85.5
736,B,Ship,4,1,259,3,low,M,39,2427,1,Yes,100.0
737,C,Ship,5,3,200,8,low,F,9,2741,1,Yes,81.0
738,F,Ship,2,1,111,2,high,F,10,1920,1,Yes,84.7
739,D,Ship,3,2,223,3,medium,F,6,2127,1,Yes,94.2
740,F,Ship,3,2,241,3,low,M,22,3030,1,Yes,100.0
741,A,Ship,4,5,139,3,low,F,65,1277,1,Yes,99.8
742,B,Ship,7,4,192,3,low,F,33,1694,1,Yes,99.5
743,C,Ship,3,5,180,4,medium,F,59,1481,1,Yes,99.7
744,F,Ship,3,3,153,5,low,M,35,1089,1,Yes,99.6
745,D,Ship,2,4,280,4,low,M,48,1463,1,Yes,99.7
746,F,Ship,7,5,243,5,medium,M,28,1100,1,Yes,99.5
747,A,Ship,3,4,214,2,low,M,50,3881,1,Yes,100.0
748,B,Ship,4,4,177,2,low,M,6,1112,1,Yes,80.5
749,C,Ship,3,2,182,3,medium,F,39,3828,1,Yes,100.0
750,F,Ship,4,5,185,3,medium,M,17,2824,1,Yes,100.0
751,D,Ship,3,3,143,3,medium,M,23,1281,1,Yes,99.9
752,F,Ship,3,3,162,3,medium,M,7,1901,1,Yes,86.3
753,A,Ship,3,1,171,2,low,M,34,1999,1,Yes,100.0
754,B,Ship,5,1,227,3,low,F,14,2589,1,Yes,100.0
755,C,Ship,3,5,205,6,low,F,25,2232,1,Yes,100.0
756,F,Ship,3,5,258,3,low,M,17,3033,1,Yes,100.0
757,D,Ship,4,5,195,5,medium,F,10,3537,1,Yes,73.0
758,F,Ship,4,1,224,2,low,M,8,3638,1,Yes,92.4
759,A,Ship,2,5,192,6,low,F,41,2673,1,Yes,100.0
760,B,Ship,3,3,202,3,medium,F,35,3986,1,Yes,100.0
761,C,Ship,5,3,235,2,medium,F,12,3358,1,Yes,100.0
762,F,Ship,3,4,218,3,low,M,22,3818,1,Yes,100.0
763,D,Ship,6,5,176,4,medium,M,31,1262,1,Yes,99.5
764,F,Ship,3,3,221,2,medium,F,26,3120,1,Yes,100.0
765,A,Ship,3,4,157,3,low,F,32,1370,1,Yes,99.9
766,B,Ship,4,2,259,4,low,F,13,2495,1,Yes,100.0
767,C,Ship,2,1,249,3,low,M,11,2534,1,Yes,100.0
768,F,Ship,4,1,263,5,low,F,62,2292,1,Yes,100.0
769,D,Ship,4,3,141,3,low,F,2,1915,1,Yes,82.5
770,F,Ship,4,1,114,3,medium,F,9,1240,1,Yes,83.1
771,A,Ship,3,4,179,4,low,F,44,1004,1,Yes,98.8
772,B,Ship,4,3,179,3,medium,M,40,1584,1,Yes,99.8
773,C,Ship,3,5,193,3,low,F,47,3523,1,Yes,100.0
774,F,Ship,3,2,137,3,medium,F,23,1246,1,Yes,99.9
775,D,Ship,3,5,110,3,low,M,55,1875,1,Yes,99.9
776,F,Ship,3,1,270,3,medium,F,61,3582,1,Yes,100.0
777,A,Ship,5,1,175,3,medium,F,64,1110,1,Yes,99.7
778,B,Ship,5,1,234,2,low,M,12,2372,1,Yes,100.0
779,C,Ship,2,4,177,3,medium,M,48,1113,1,Yes,99.8
780,F,Ship,3,4,153,2,low,F,24,1442,1,Yes,99.9
781,D,Ship,4,5,252,3,low,M,16,2332,1,Yes,100.0
782,F,Ship,2,4,122,2,low,F,32,1213,1,Yes,99.9
783,A,Ship,4,5,215,2,medium,F,34,2258,1,Yes,100.0
